Language_ID,Feature_ID,IPA,Value
khv,fire,c'o,1
khv,tooth,syl,3
khv,barley,maqa,10
khv,heart,lok'o,23
khv,meat,liƛ,35
khv,ashes,jõƛu,38
khv,dry,quqqu,42
khv,round,gyrma,48
khv,water,ɬõ,54
khv,long,b=yxala,55
kjj,fire,č'ä,1
kjj,tooth,culoz,3
kjj,one,sa,4
kjj,ram,ki,7
kjj,hand,kul,8
kjj,barley,maqa,10
kjj,fill,c'i,19
kjj,black,mič'ä,20
kjj,thin,k'yr,21
kjj,die,=k',22
kjj,heart,ung,23
kjj,earth,inč'i,26
kjj,we,kin,27
kjj,five,pxu,28
kjj,name,c'uu,31
kjj,meat,"lyk""a",35
kjj,yoke,ing,36
kjj,ashes,zäk',38
kjj,dry,q'ii,42
kjj,sun,ynq',43
kjj,moon,vac',44
kjj,tongue,mic',45
kjj,nettle,məč',46
kjj,round,gongozly,48
kjj,year,üs,51
kjj,bear,psə,52
kjj,wool,kxa,53
kjj,water,xu,54
kjj,long,v=ixä,55
kjj,apple,muč,58
kjj,eye,pil,62
kjj,burn,"kk""i",63
udi,fire,arux,1
udi,tooth,ulux,3
udi,one,sa,4
udi,hand,kul,8
udi,pear,ar,9
udi,barley,mu,10
udi,bull,us,14
udi,black,maʕjin,20
udi,heart,uk',23
udi,earth,oč'ʕi,26
udi,we,jan,27
udi,five,qo,28
udi,name,c'i,31
udi,right,ač'ʕa,32
udi,meat,jeq'ʕ,35
udi,yoke,oq'ʕ ,36
udi,pig,boq'ʕ,37
udi,ashes,ǯeq',38
udi,road,jaq',40
udi,dry,q'ari,42
udi,sun,beɣʕ,43
udi,tongue,muz,45
udi,nettle,məč',46
udi,round,k'ank'oroj,48
udi,year,usen,51
udi,bear,šuje,52
udi,wool,xa,53
udi,water,xe,54
udi,long,boxoj,55
udi,apple,eʃʕ,58
udi,eye,pul,62
ddo,fire,c'i,1
ddo,one,sis,4
ddo,barley,maqa,10
ddo,bile,semi,13
ddo,bull,is,14
ddo,die,=iƛ'e,22
ddo,we,eli,27
ddo,five,ɬeno,28
ddo,name,ci,31
ddo,winter,eƛni,34
ddo,meat,reƛ,35
ddo,yoke,raʕƛ'u,36
ddo,pig,baʕƛo,37
ddo,ashes,noʕƛu,38
ddo,dry,quqqäwi,42
ddo,sun,buq,43
ddo,moon,buci,44
ddo,nettle,meča,46
ddo,round,gelmač'u,48
ddo,bear,ze,52
ddo,water,ɬi,54
ddo,long,b=exora,55
ddo,apple,heneš,58
ddo,weave,riša,60
tkr,tooth,sili,3
tkr,one,sa,4
tkr,pear,ʒyxʕaa,9
tkr,fill,gja=c',19
tkr,thin,q'yʕwa=n,21
tkr,die,qa=k',22
tkr,axe,jakw',24
tkr,five,xo=D=le,28
tkr,yoke,oʕk,36
tkr,pig,wok,37
tkr,moon,waz,44
tkr,round,gyrgara=D,48
tkr,frost,zib,50
tkr,wool,xa,53
tkr,long,xyllii=n,55
tkr,know,=c'a=xes,65
tin,leave,=eta,2
